Mom ID,i22,i60,i34,i2,i90,i1,i10,i1,i99,i29,i5,i26,i99,i2,i7,i1,i98,i67,i10,i2,i21,i22,i2,i27,i102,i82,i37,i4,i4,i38,i21,i16,i39,i65,i14,i102,i103,i8,i83,i3,i90,i24,i40,i36,i83,i4,i90,i21,i37,i2283,i1660,i2285,i41,i1668,i48,i1674,i2280,i46,i2284,i2283,i2297,i86,i2289,i45,i2285,i2290,i2288,i31,i2288,i2298
Birth date,38503,38539,38573,38505,38533,38536,38505,38515,38529,38505,38511,38517,38529,38507,38515,38527,38565,38569,38507,38513,38527,38507,38527,38507,38545,38551,38577,38509,38531,38551,38527,38509,38549,38535,38511,38539,38547,38515,38517,38527,38533,38519,38531,38519,38519,38527,38533,38521,38593,38647,38671,38597,38613,38665,38587,38635,38681,38587,38607,38635,38671,38595,38639,38595,38607,38639,38589,38595,38603,38591
ID,i146,i147,i148,i149,i150,i151,i152,i153,i154,i155,i156,i157,i158,i159,i160,i161,i162,i163,i164,i165,i166,i167,i168,i169,i170,i171,i172,i173,i174,i175,i176,i177,i178,i179,i180,i181,i182,i183,i184,i185,i186,i187,i188,i189,i190,i191,i192,i193,i1705,i1899,i1706,i1707,i1708,i1709,i1710,i1711,i1712,i1713,i1714,i1715,i1716,i1717,i1718,i1719,i1720,i1721,i1722,i1723,i1724,i1725
Vial,c1,c1,c1,c2,c2,c2,c3,c3,c3,c4,c4,c4,c4 (c20),c5,c5,c5,c5,c5,c6,c6,c6 (c19),c7,c7,c8,c8,c8,c8,c9,c9,c9,c9 (c18),c10,c10,c10 (part of c14),c11,c11,c11,c12,c13,c13,c13,c14,c14,c15,c16,c16,c16,c17,c1,c1,c1,c2,c2,c2,c3,c3,c3,c4,c4,c4,c4,c6,c6,c7,c7,c7,c8,c9,c10,c11
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.000,0,0,0,0,,0,0,,0,,,0,0,0,,0,,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.000,0,0,0,0,,1,0,,0,,,0,0,,,0,,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
9.000,2,0,0,0,,1,,,0,,,0,0,,,0,,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,1,,1,2,,,2,0,,0,,,4,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
11.000,6,4,0,0,,2,,,0,,,0,0,,,0,,0,,2,0,0,0,0,,0,0,0,0,0,0,0,3,7,1,,1,2,,,7,0,,0,,,8,2,0,2,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,0,0
13.000,6,4,0,0,,2,,,0,,,0,1,,,0,,0,,2,0,0,0,0,,0,,0,0,,0,0,4,7,1,,3,4,,,7,,,0,,,10,3,0,2,2,0,0,4,0,0,,0,1,0,0,2,0,,0,0,0,,0,0
15.000,7,4,1,0,,2,,,1,,,0,7,,,0,,0,,4,1,0,1,0,,0,,2,0,,0,0,4,8,1,,4,4,,,9,,,0,,,10,3,2,5,2,0,0,4,0,0,,0,1,0,0,4,0,,0,0,0,,0,0
17.000,7,4,1,0,,4,,,3,,,0,7,,,2,,0,,4,1,3,5,0,,0,,2,,,2,0,,8,1,,4,6,,,9,,,5,,,12,3,2,4,,,0,5,0,0,,2,1,0,,4,0,,0,0,0,,0,0
19.000,7,6,1,0,,4,,,4,,,0,7,,,2,,0,,4,3,,5,0,,0,,4,,,2,0,,12,1,,6,7,,,12,,,5,,,12,3,2,4,,,0,9,0,1,,2,1,1,,8,0,,,0,0,,0,0
21.000,7,10,,0,,4,,,4,,,0,7,,,2,,0,,7,3,,5,0,,,,6,,,2,0,,15,1,,7,7,,,12,,,7,,,12,8,4,,,,0,9,1,1,,,1,1,,9,1,,,0,0,,0,1
23.000,7,10,,0,,6,,,5,,,0,8,,,2,,0,,8,5,,6,0,,,,,,,2,0,,15,1,,7,9,,,13,,,7,,,12,8,4,,,,1,,2,1,,,,1,,9,1,,,1,1,,0,1
25.000,7,10,,0,,7,,,5,,,3,8,,,2,,0,,8,5,,6,0,,,,,,,2,0,,17,1,,9,9,,,15,,,9,,,12,11,4,,,,1,,2,4,,,,4,,11,1,,,1,1,,0,1
27.000,7,10,,,,7,,,8,,,3,8,,,3,,0,,11,8,,6,0,,,,,,,2,0,,17,1,,9,9,,,15,,,11,,,14,12,6,,,,2,,3,4,,,,4,,11,3,,,3,1,,0,1
29.000,11,10,,,,9,,,8,,,8,8,,,3,,0,,11,8,,7,0,,,,,,,2,0,,20,,,9,9,,,18,,,11,,,14,13,6,,,,3,,3,4,,,,6,,12,4,,,3,1,,0,1
31.000,11,10,,,,9,,,8,,,8,8,,,3,,1,,13,10,,7,0,,,,,,,2,0,,20,,,9,9,,,20,,,15,,,,,6,,,,3,,3,6,,,,6,,12,4,,,3,1,,,1
33.000,11,,,,,9,,,10,,,8,9,,,3,,1,,15,11,,7,0,,,,,,,2,0,,11,,,9,11,,,22,,,15,,,,,7,,,,4,,3,6,,,,9,,13,6,,,,1,,,1
35.000,11,,,,,10,,,10,,,10,9,,,3,,1,,15,12,,7,0,,,,,,,2,0,,13,,,11,11,,,,,,18,,,,,7,,,,5,,3,6,,,,,,13,6,,,,1,,,1
37.000,,,,,,10,,,10,,,10,9,,,3,,1,,18,14,,7,0,,,,,,,2,,,13,,,11,13,,,,,,18,,,,,7,,,,5,,3,,,,,,,13,7,,,,1,,,1
39.000,,,,,,13,,,10,,,12,9,,,,,1,,18,14,,7,,,,,,,,2,,,15,,,11,13,,,,,,,,,,,7,,,,,,3,,,,,,,13,9,,,,1,,,
41.000,,,,,,13,,,10,,,,9,,,,,1,,20,17,,7,,,,,,,,2,,,15,,,11,15,,,,,,,,,,,7,,,,,,3,,,,,,,13,9,,,,1,,,
43.000,,,,,,15,,,10,,,,9,,,,,2,,20,17,,7,,,,,,,,2,,,17,,,,15,,,,,,,,,,,7,,,,,,3,,,,,,,13,11,,,,,,,
45.000,,,,,,15,,,10,,,,9,,,,,2,,24,17,,7,,,,,,,,2,,,17,,,,15,,,,,,,,,,,7,,,,,,,,,,,,,,11,,,,,,,
47.000,,,,,,15,,,10,,,,9,,,,,2,,24,17,,7,,,,,,,,2,,,17,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,
49.000,,,,,,17,,,10,,,,9,,,,,2,,,17,,7,,,,,,,,2,,,17,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.000,,,,,,17,,,10,,,,9,,,,,,,,18,,7,,,,,,,,2,,,17,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.000,,,,,,17,,,,,,,9,,,,,,,,18,,7,,,,,,,,2,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.000,,,,,,17,,,,,,,9,,,,,,,,20,,7,,,,,,,,2,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.000,,,,,,17,,,,,,,,,,,,,,,20,,7,,,,,,,,3,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.000,,,,,,17,,,,,,,,,,,,,,,22,,7,,,,,,,,2,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.000,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,2,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.000,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,2,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,