Mom ID,i121,i122,i122,i130,i130,i130,i123,i130,i130,i123,i123,i119,i128,i128,i122,i122,i128,i130,i130,i127,i112,i119,i131,i1684,i1693,i1689,i114,i1693,i1689,i1703,i116,i1692,i137,i134,i1704,i1702,i1703,i119,i123,i134,i130,i134,i134,i123
Birth date,38553,38559,38559,38565,38559,38555,38563,38559,38559,38563,38553,38561,38559,38563,38553,38553,38563,38565,38569,38559,38559,38567,38557,38571,38619,38675,38603,38619,38681,38619,38595,38667,38593,38593,38613,38621,38639,38561,38577,38593,38587,38593,38579,38577
ID,i416,i418,i420,i423,i425,i427,i428,i430,i432,i435,i436,i438,i441,i445,i446,i447,i450,i453,i456,i458,i460,i461,i462,i1868,i1869,i1870,i1871,i1872,i1873,i1874,i1875,i1876,i1877,i1878,i1879,i1880,i1881,i1882,i1883,i1884,i1885,i1886,i1887,i1888
Vial,b1,b2,mb3,mb4,mb5,mb6,mb6,mb7,mb8,mb9,mb10,mb10,mb11,mb12,mb13,mb14,mb15,mb16,mb17,mb18,mb19,mb19,mb20,b1,mb1,mb1,mb2,mb2,mb2,mb3,mb4,mb4,mb5,mb6,mb7,mb8,mb9,mb10,mb10,mb10,mb13,mb14,mb16,mb19
Age ,1,3,5,8,10,12,13,15,17,20,21,23,26,30,31,32,35,38,41,43,45,46,47,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,4,0,0,0,0,0,0,0,4,0,0,0,0,0,3,2,0,0,4,0,0,4,3,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,4,0,0,7,4,,0,4,4,0,,0,2,0,5,3,0,7,4,0,,,3,0,3,2,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,
11,4,0,0,7,4,,1,4,6,0,,,2,0,5,3,0,7,7,0,,,3,0,3,2,0,0,,0,0,2,0,0,0,0,,,2,0,0,,0,
13,4,0,0,8,4,,1,5,6,0,,,4,0,8,5,2,7,8,0,,,6,,3,,0,0,,0,0,2,3,0,0,0,,,2,,0,,,
15,6,0,4,12,6,,4,5,6,0,,,5,0,8,6,2,,8,2,,,7,,3,,0,0,,0,0,2,5,0,0,0,,,2,,0,,,
17,6,2,4,12,9,,5,5,6,3,,,5,1,10,8,4,,10,4,,,11,,3,,,0,,0,0,,5,0,0,0,,,,,,,,
19,9,3,4,14,9,,5,5,6,3,,,5,1,10,8,4,,10,4,,,11,,4,,,0,,0,0,,8,4,0,0,,,,,,,,
21,12,5,6,14,10,,6,5,10,3,,,5,1,10,9,4,,10,5,,,12,,4,,,0,,0,0,,8,4,0,0,,,,,,,,
23,12,5,6,16,10,,6,10,10,3,,,9,1,12,11,6,,12,5,,,14,,4,,,0,,1,0,,8,4,0,0,,,,,,,,
25,14,5,7,,10,,6,10,14,5,,,9,2,12,11,6,,12,5,,,14,,5,,,0,,1,0,,10,4,0,0,,,,,,,,
27,14,5,7,,,,8,13,16,5,,,11,2,13,11,6,,14,6,,,14,,,,,0,,1,0,,10,6,0,2,,,,,,,,
29,16,,7,,,,8,14,16,5,,,12,3,13,13,8,,14,6,,,14,,,,,0,,1,1,,12,6,0,2,,,,,,,,
31,16,,8,,,,,14,18,5,,,12,3,13,13,8,,16,,,,16,,,,,0,,1,1,,12,6,0,2,,,,,,,,
33,16,,8,,,,,14,18,7,,,12,3,,13,8,,16,,,,16,,,,,0,,1,3,,13,7,0,2,,,,,,,,
35,16,,8,,,,,14,20,7,,,13,,,13,9,,17,,,,16,,,,,0,,1,3,,15,7,0,,,,,,,,,
37,18,,8,,,,,14,20,7,,,15,,,13,9,,17,,,,,,,,,,,1,3,,15,8,,,,,,,,,,
39,18,,8,,,,,,22,7,,,15,,,13,9,,18,,,,,,,,,,,1,3,,17,8,,,,,,,,,,
41,21,,8,,,,,,22,8,,,15,,,,9,,18,,,,,,,,,,,2,3,,17,8,,,,,,,,,,
43,21,,8,,,,,,23,8,,,15,,,,9,,20,,,,,,,,,,,2,,,18,8,,,,,,,,,,
45,21,,8,,,,,,23,8,,,15,,,,10,,,,,,,,,,,,,2,,,18,,,,,,,,,,,
47,22,,8,,,,,,23,8,,,15,,,,10,,,,,,,,,,,,,2,,,18,,,,,,,,,,,
49,22,,,,,,,,23,9,,,15,,,,10,,,,,,,,,,,,,4,,,19,,,,,,,,,,,
51,22,,,,,,,,24,9,,,15,,,,11,,,,,,,,,,,,,4,,,19,,,,,,,,,,,
53,22,,,,,,,,24,9,,,16,,,,11,,,,,,,,,,,,,4,,,20,,,,,,,,,,,
55,,,,,,,,,25,9,,,16,,,,11,,,,,,,,,,,,,4,,,20,,,,,,,,,,,
57,,,,,,,,,25,,,,16,,,,11,,,,,,,,,,,,,4,,,20,,,,,,,,,,,
59,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,4,,,20,,,,,,,,,,,
61,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,