Mom ID,i227,i235,i220,i235,i220,i227,i227,i220,i228,i228,i220,i1742,i1731,i1731,i1737,inaccurate mom
Birth Date,38553,38573,38569,38573,38557,38557,38557,38583,38585,38579,38587,38623,38637,38643,38643,38607
ID,i520,i521,i524,i526,i528,i529,i530,i531,i533,i534,i536,i1909,i1910,i1911,i1912,i1913
,md1,md1,md2,md3,md4,md5,md6,md4,md7,md8,md10,md1,md2,md3,md4,md6
Age ,1,2,5,7,9,10,11,12,14,15,17,18,19,20,21,22
1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.000,2,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
9.000,2,0,0,0,1,5,5,0,0,0,0,0,0,0,0,0
11.000,2,0,0,0,1,5,5,0,0,2,1,0,0,0,0,1
13.000,2,1,0,1,1,7,7,0,0,2,2,0,0,0,0,1
15.000,2,1,0,2,2,7,7,0,0,2,4,1,0,0,0,1
17.000,2,1,0,2,2,9,9,0,0,2,4,1,0,3,0,2
19.000,,1,0,3,2,9,9,0,0,2,,1,0,3,0,2
21.000,,2,0,3,2,9,9,0,0,,,2,0,3,1,3
23.000,,2,0,3,2,9,11,0,0,,,2,0,5,1,3
25.000,,2,0,3,2,11,11,0,,,,2,0,5,1,5
27.000,,2,0,3,,11,13,0,,,,2,0,5,1,5
29.000,,2,0,5,,11,13,0,,,,2,0,5,1,6
31.000,,2,0,5,,12,13,0,,,,2,0,5,1,6
33.000,,2,0,5,,12,,0,,,,2,,5,1,6
35.000,,2,0,6,,12,,0,,,,2,,5,1,6
37.000,,3,0,6,,12,,0,,,,4,,7,,7
39.000,,3,0,6,,13,,0,,,,4,,7,,7
41.000,,,0,6,,13,,0,,,,4,,7,,7
43.000,,,0,6,,13,,,,,,4,,7,,7
45.000,,,0,6,,13,,,,,,4,,,,7
47.000,,,0,6,,,,,,,,4,,,,7
49.000,,,0,6,,,,,,,,4,,,,7
51.000,,,0,6,,,,,,,,4,,,,7
53.000,,,0,6,,,,,,,,4,,,,7
55.000,,,0,6,,,,,,,,4,,,,7
57.000,,,0,6,,,,,,,,4,,,,7
59.000,,,0,6,,,,,,,,4,,,,7
61.000,,,0,6,,,,,,,,4,,,,
63.000,,,0,6,,,,,,,,,,,,
65.000,,,0,,,,,,,,,,,,,
67.000,,,,,,,,,,,,,,,,
69.000,,,,,,,,,,,,,,,,
71.000,,,,,,,,,,,,,,,,
73.000,,,,,,,,,,,,,,,,
75.000,,,,,,,,,,,,,,,,
77.000,,,,,,,,,,,,,,,,
79.000,,,,,,,,,,,,,,,,
81.000,,,,,,,,,,,,,,,,
83.000,,,,,,,,,,,,,,,,
85.000,,,,,,,,,,,,,,,,
87.000,,,,,,,,,,,,,,,,
89.000,,,,,,,,,,,,,,,,
91.000,,,,,,,,,,,,,,,,
93.000,,,,,,,,,,,,,,,,
95.000,,,,,,,,,,,,,,,,
97.000,,,,,,,,,,,,,,,,
99.000,,,,,,,,,,,,,,,,
101.000,,,,,,,,,,,,,,,,
103.000,,,,,,,,,,,,,,,,
105.000,,,,,,,,,,,,,,,,
107.000,,,,,,,,,,,,,,,,
109.000,,,,,,,,,,,,,,,,
111.000,,,,,,,,,,,,,,,,
113.000,,,,,,,,,,,,,,,,
115.000,,,,,,,,,,,,,,,,
117.000,,,,,,,,,,,,,,,,
119.000,,,,,,,,,,,,,,,,
121.000,,,,,,,,,,,,,,,,
123.000,,,,,,,,,,,,,,,,
125.000,,,,,,,,,,,,,,,,
127.000,,,,,,,,,,,,,,,,
129.000,,,,,,,,,,,,,,,,
131.000,,,,,,,,,,,,,,,,
133.000,,,,,,,,,,,,,,,,
135.000,,,,,,,,,,,,,,,,
137.000,,,,,,,,,,,,,,,,
139.000,,,,,,,,,,,,,,,,
141.000,,,,,,,,,,,,,,,,
143.000,,,,,,,,,,,,,,,,