Mom ID,i5000,i5000,i5017,i5007,i5000,i5000,i5017,i5006,i5006,i5014,i5006,i5006,i5010,i5000,i5004,i5018,i5000,i5000,i5018,i5012,i5014,i5014,i5015
Birth date,38507,38525,38529,38531,38509,38517,38529,38509,38517,38521,38509,38517,38509,38519,38523,38527,38511,38519,38523,38519,38527,38527,38529
ID,i5125,i5126,i5127,i5128,i5129,i5130,i5131,i5132,i5133,i5134,i5135,i5136,i5137,i5138,i5139,i5140,i5141,i5142,i5143,i5144,i5145,i5146,i5147
Vial,b1,b1,b1,b1,b2,b2,b2,b3,b3,b3,b4,b4,b5,b5,b5,b5,b6,b6,b6,b7,b8,b9,b10
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,,,,,0,,0,,0,0,0,0,,,0,0,,0,0,0,0,0
5,0,,,,,0,,0,,0,,0,0,,,0,,,0,0,0,0,0
7,0,,,,,0,,,,0,,0,,,,0,,,0,0,2,0,
9,0,,,,,0,,,,0,,0,,,,0,,,3,2,,3,
11,0,,,,,2,,,,0,,3,,,,2,,,3,5,,3,
13,0,,,,,,,,,0,,5,,,,2,,,5,,,6,
15,0,,,,,,,,,,,9,,,,,,,5,,,10,
17,,,,,,,,,,,,,,,,,,,7,,,15,
19,,,,,,,,,,,,,,,,,,,10,,,15,
21,,,,,,,,,,,,,,,,,,,13,,,21,
23,,,,,,,,,,,,,,,,,,,13,,,25,
25,,,,,,,,,,,,,,,,,,,17,,,25,
27,,,,,,,,,,,,,,,,,,,22,,,29,
29,,,,,,,,,,,,,,,,,,,22,,,33,
31,,,,,,,,,,,,,,,,,,,25,,,33,
33,,,,,,,,,,,,,,,,,,,30,,,36,
35,,,,,,,,,,,,,,,,,,,30,,,36,
37,,,,,,,,,,,,,,,,,,,30,,,,
39,,,,,,,,,,,,,,,,,,,30,,,,
41,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,