Mom ID,i5002,i5015,i5000,i5019,i5018,i5007,i5008,i5003,i5004,i5005,i5003,i5000,i5003,i5004,i5018,i5020,i5012,i5014,i5013,i5004
Birth date,38509,38513,38509,38519,38527,38531,38509,38519,38523,38509,38519,38511,38519,38523,38527,38511,38519,38527,38525,38529
ID,i5164,i5165,i5166,i5167,i5168,i5169,i5170,i5171,i5172,i5173,i5174,i5175,i5176,i5177,i5178,i5179,i5180,i5181,i5182,i5183
Vial,d1,d1,d2,d2,d2,d2,d3,d3,d3,d4,d4,d5,d5,d5,d5,d6,d7,d7,d8,d8
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.000,,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,0
5.000,,0,0,0,,,,,0,,0,0,,,0,0,0,0,,0
7.000,,0,1,,,,,,0,,0,,,,0,0,,0,,0
9.000,,0,,,,,,,0,,0,,,,,0,,0,,0
11.000,,0,,,,,,,,,0,,,,,0,,0,,0
13.000,,0,,,,,,,,,0,,,,,0,,0,,1
15.000,,0,,,,,,,,,0,,,,,0,,0,,1
17.000,,0,,,,,,,,,0,,,,,0,,0,,2
19.000,,0,,,,,,,,,0,,,,,0,,0,,2
21.000,,,,,,,,,,,,,,,,0,,0,,2
23.000,,,,,,,,,,,,,,,,,,0,,2
25.000,,,,,,,,,,,,,,,,,,0,,
27.000,,,,,,,,,,,,,,,,,,0,,
29.000,,,,,,,,,,,,,,,,,,0,,
31.000,,,,,,,,,,,,,,,,,,0,,
33.000,,,,,,,,,,,,,,,,,,0,,
35.000,,,,,,,,,,,,,,,,,,0,,
37.000,,,,,,,,,,,,,,,,,,0,,
39.000,,,,,,,,,,,,,,,,,,,,
41.000,,,,,,,,,,,,,,,,,,,,
43.000,,,,,,,,,,,,,,,,,,,,
45.000,,,,,,,,,,,,,,,,,,,,
47.000,,,,,,,,,,,,,,,,,,,,
49.000,,,,,,,,,,,,,,,,,,,,
51.000,,,,,,,,,,,,,,,,,,,,
53.000,,,,,,,,,,,,,,,,,,,,
55.000,,,,,,,,,,,,,,,,,,,,
57.000,,,,,,,,,,,,,,,,,,,,
59.000,,,,,,,,,,,,,,,,,,,,
61.000,,,,,,,,,,,,,,,,,,,,
63.000,,,,,,,,,,,,,,,,,,,,
65.000,,,,,,,,,,,,,,,,,,,,
67.000,,,,,,,,,,,,,,,,,,,,
69.000,,,,,,,,,,,,,,,,,,,,
71.000,,,,,,,,,,,,,,,,,,,,
73.000,,,,,,,,,,,,,,,,,,,,
75.000,,,,,,,,,,,,,,,,,,,,
77.000,,,,,,,,,,,,,,,,,,,,
79.000,,,,,,,,,,,,,,,,,,,,
81.000,,,,,,,,,,,,,,,,,,,,
83.000,,,,,,,,,,,,,,,,,,,,
85.000,,,,,,,,,,,,,,,,,,,,
87.000,,,,,,,,,,,,,,,,,,,,
89.000,,,,,,,,,,,,,,,,,,,,
91.000,,,,,,,,,,,,,,,,,,,,
93.000,,,,,,,,,,,,,,,,,,,,
95.000,,,,,,,,,,,,,,,,,,,,
97.000,,,,,,,,,,,,,,,,,,,,
99.000,,,,,,,,,,,,,,,,,,,,
101.000,,,,,,,,,,,,,,,,,,,,
103.000,,,,,,,,,,,,,,,,,,,,
105.000,,,,,,,,,,,,,,,,,,,,
107.000,,,,,,,,,,,,,,,,,,,,
109.000,,,,,,,,,,,,,,,,,,,,
111.000,,,,,,,,,,,,,,,,,,,,
113.000,,,,,,,,,,,,,,,,,,,,
115.000,,,,,,,,,,,,,,,,,,,,
117.000,,,,,,,,,,,,,,,,,,,,
119.000,,,,,,,,,,,,,,,,,,,,
121.000,,,,,,,,,,,,,,,,,,,,
123.000,,,,,,,,,,,,,,,,,,,,
125.000,,,,,,,,,,,,,,,,,,,,
127.000,,,,,,,,,,,,,,,,,,,,
129.000,,,,,,,,,,,,,,,,,,,,
131.000,,,,,,,,,,,,,,,,,,,,
133.000,,,,,,,,,,,,,,,,,,,,
135.000,,,,,,,,,,,,,,,,,,,,
137.000,,,,,,,,,,,,,,,,,,,,
139.000,,,,,,,,,,,,,,,,,,,,
141.000,,,,,,,,,,,,,,,,,,,,
143.000,,,,,,,,,,,,,,,,,,,,