Mom ID,i735,i735,i710,i714,i718,i710,i735,i735,i739,i714,i739,i739,i705,i705,i710,i721,i739,i721,i735,i735,i2147,i2149,i2149,i2147,i2147,i2130,i2149,i2150,i2158,i2158,i2130,i2147,i2160,i2130,i2147,i2130,i2130,i705,i705
Birthdate,38553,38553,38555,38569,38575,38555,38559,38569,38557,38573,38557,38557,38561,38577,38561,38577,38563,38577,38577,38577,38601,38679,38685,38601,38611,38613,38685,38613,38685,38685,38603,38615,38617,38621,38615,38621,38603,38583,38583
ID,i892,i893,i894,i895,i896,i897,i898,i899,i900,i901,i902,i903,i904,i905,i906,i907,i908,i909,i910,i912,i2346,i2347,i2348,i2349,i2350,i2351,i2352,i2353,i2354,i2355,i2356,i2357,i2358,i2359,i2360,i2361,i2362,i2363,i2364
Vial,MD1,MD2,MD3,MD3,MD3,MD4,MD4,MD4,MD5,MD5,MD6,MD7,MD7,MD7,MD8,MD8,MD9,MD9,MD10,MD11,md1,md1,md1,md2,md2,md2,md2,md3,md3,md4,md6,md6,md6,md6,md7,md7,md9,md10,md11
Age,8,9,10,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,,0,,,0,,0,0,,,0,0,0
5,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,,0,,,,,,0,0,0
7,1,2,4,,0,,0,0,1,0,0,,0,0,,0,,0,,,0,,,0,,0,,0,,,0,,,,,,0,0,0
9,3,2,5,,0,,0,0,3,0,0,,,0,,0,,0,,,0,,,0,,0,,0,,,,,,,,,0,0,0
11,5,2,5,,0,,,0,3,0,0,,,0,,0,,0,,,0,,,,,0,,0,,,,,,,,,0,0,0
13,6,4,6,,0,,,2,,0,0,,,0,,0,,0,,,0,,,,,0,,0,,,,,,,,,0,1,0
15,8,4,,,0,,,2,,1,0,,,0,,0,,0,,,1,,,,,0,,0,,,,,,,,,2,1,0
17,8,4,,,0,,,3,,1,0,,,1,,2,,0,,,1,,,,,0,,0,,,,,,,,,2,3,1
19,8,6,,,3,,,3,,2,0,,,1,,2,,,,,1,,,,,0,,0,,,,,,,,,2,3,1
21,10,6,,,3,,,3,,2,0,,,2,,2,,,,,2,,,,,0,,0,,,,,,,,,2,6,3
23,10,6,,,3,,,3,,2,0,,,2,,4,,,,,2,,,,,0,,0,,,,,,,,,2,6,5
25,10,7,,,3,,,3,,3,1,,,4,,4,,,,,3,,,,,,,0,,,,,,,,,4,6,5
27,10,10,,,5,,,3,,3,1,,,4,,6,,,,,3,,,,,,,0,,,,,,,,,4,6,6
29,11,10,,,5,,,4,,3,1,,,,,6,,,,,4,,,,,,,0,,,,,,,,,6,8,6
31,11,10,,,,,,4,,3,1,,,,,6,,,,,4,,,,,,,0,,,,,,,,,6,8,8
33,11,11,,,,,,4,,4,1,,,,,7,,,,,4,,,,,,,0,,,,,,,,,6,9,8
35,11,13,,,,,,4,,4,1,,,,,7,,,,,5,,,,,,,0,,,,,,,,,6,9,8
37,11,13,,,,,,6,,6,,,,,,7,,,,,5,,,,,,,0,,,,,,,,,6,10,8
39,11,13,,,,,,6,,6,,,,,,7,,,,,6,,,,,,,0,,,,,,,,,6,10,
41,11,14,,,,,,6,,6,,,,,,7,,,,,6,,,,,,,0,,,,,,,,,6,10,
43,,,,,,,,7,,6,,,,,,7,,,,,6,,,,,,,0,,,,,,,,,6,10,
45,,,,,,,,7,,6,,,,,,7,,,,,6,,,,,,,0,,,,,,,,,6,11,
47,,,,,,,,7,,6,,,,,,7,,,,,6,,,,,,,,,,,,,,,,6,11,
49,,,,,,,,7,,6,,,,,,7,,,,,6,,,,,,,,,,,,,,,,6,,
51,,,,,,,,8,,6,,,,,,7,,,,,6,,,,,,,,,,,,,,,,6,,
53,,,,,,,,8,,6,,,,,,7,,,,,6,,,,,,,,,,,,,,,,6,,
55,,,,,,,,8,,6,,,,,,7,,,,,6,,,,,,,,,,,,,,,,6,,
57,,,,,,,,8,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,6,,
59,,,,,,,,8,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,6,,
61,,,,,,,,8,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,
63,,,,,,,,8,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,
65,,,,,,,,8,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,
67,,,,,,,,8,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,