Mom ID,i946,i3530,i924,i3526,i941,i3520,i3511,i3523,i931,i3527,i3530,i3526,i3526,i3511,i3530,i933,i931,i3551,i3527,i3530,i935,i3549,i938,i3514,i3542,i3512,i3505,i3601,i3546,i3606,i3512,i3530,i3522,i3550,i3529,i3505,i3511,i938
Birthdate,38549,38559,38567,38551,38561,38551,38561,38563,38567,38553,38553,38569,38555,38555,38563,38571,38557,38557,38569,38573,38589,38595,38613,38619,38659,38685,38597,38611,38661,38669,38685,38583,38599,38661,38667,38587,38587,38589
ID,i1133,i1134,i1135,i1136,i1137,i1138,i1139,i1140,i1141,i1144,i1146,i1147,i1148,i1149,i1150,i1151,i1153,i1154,i1156,i1158,i3719,i3720,i3721,i3722,i3723,i3724,i3725,i3726,i3727,i3728,i3729,i3730,i3731,i3732,i3733,i3734,i3735,i3736
Vial,F1,F1,F1,F2,F2,F3,F3,F3,F3,F5,F6,F6,F7,F8,F8,F8,F10,F11,F12,F13,f1,f1,f1,f1,f1,f1,f2,f2,f2,f2,f2,f3,f3,f3,f3,f4,f5,f7
Age,1,2,3,4,5,6,7,8,9,12,14,15,16,17,18,19,21,22,24,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
1,0.828,0.785,0.832,0.84,0.831,0.84,0.711,0.808,0.798,0.799,0.796,0.927,0.821,0.827,0.764,0.846,0.74,0.789,0.871,0.801,0.815,0.846,0.741,0.815,0.84,0.815,0.774,0.741,0.864,0.84,0.815,0.808,0.79,0.84,0.815,0.79,0.815,0.814
3,0.988,0.931,0.974,1.012,1.039,1.062,-1,-1,0.909,0.983,1.006,0.988,1.004,1.013,0.988,0.988,0.872,1.03,1.012,0.988,0.909,1.023,0.864,0.741,1.086,,0.988,0.741,1.062,0.968,,1.012,0.963,0.997,0.963,0.953,1.027,1.014
5,1.259,-1,0.988,1.254,0.988,1.5,-1,-1,0.963,1.282,1.179,1.163,1.225,1.277,-1,1.012,1.324,1.227,1.16,1.18,-1,1.136,0.963,-1,1.196,,1.037,-1,1.21,-1,,1.037,-1,1.21,0.896,-1,1.194,1.146
7,1.448,-1,1.161,1.352,1.249,1.484,-1,-1,1.139,1.423,1.336,1.432,1.501,1.487,-1,1.206,1.484,1.466,1.333,1.401,-1,1.309,-1,-1,1.309,,-1,-1,1.284,-1,,1.032,-1,-1,-1,-1,1.339,-1
9,-1,-1,1.235,1.438,1.415,1.572,-1,-1,1.284,1.453,1.505,1.62,1.663,-1,-1,1.06,1.457,1.63,1.314,1.532,-1,1.333,-1,-1,1.333,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,1.529,-1
11,-1,-1,1.229,-1,1.432,-1,-1,-1,1.268,1.468,1.645,1.757,1.753,-1,-1,1.06,1.557,1.673,1.464,1.632,-1,1.333,-1,-1,1.333,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,1.48,-1
13,-1,-1,1.3,-1,1.429,-1,-1,-1,1.347,-1,1.63,1.869,1.682,-1,-1,1.042,1.647,1.699,1.465,1.704,-1,1.462,-1,-1,1.37,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,1.58,-1
15,-1,-1,1.3,-1,1.432,-1,-1,-1,1.314,-1,-1,1.858,1.77,-1,-1,1.089,1.654,1.753,1.557,-1,-1,1.531,-1,-1,1.297,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,1.704,-1
17,-1,-1,1.375,-1,1.508,-1,-1,-1,-1,-1,-1,1.951,1.852,-1,-1,1.136,1.694,1.805,1.481,-1,-1,1.531,-1,-1,1.457,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,1.679,-1
19,-1,-1,1.459,-1,1.536,-1,-1,-1,-1,-1,-1,1.951,1.863,-1,-1,1.136,1.728,1.753,1.506,-1,-1,-1,-1,-1,1.398,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,1.654,-1
21,-1,-1,1.506,-1,1.536,-1,-1,-1,-1,-1,-1,2.028,1.975,-1,-1,1.115,1.767,1.836,1.552,-1,-1,-1,-1,-1,1.383,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,1.667,-1
23,-1,-1,1.506,-1,1.518,-1,-1,-1,-1,-1,-1,1.969,2.162,-1,-1,1.157,1.709,1.701,1.568,-1,-1,-1,-1,-1,1.407,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,1.728,-1
25,-1,-1,-1,-1,1.445,-1,-1,-1,-1,-1,-1,1.948,2.021,-1,-1,1.171,1.708,1.824,1.547,-1,-1,-1,-1,-1,1.407,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,1.877,-1
27,-1,-1,-1,-1,1.481,-1,-1,-1,-1,-1,-1,1.999,2.053,-1,-1,1.272,1.758,1.805,1.567,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,1.877,-1
29,-1,-1,-1,-1,1.481,-1,-1,-1,-1,-1,-1,1.973,2.067,-1,-1,1.23,1.728,1.852,1.555,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,1.951,-1
31,-1,-1,-1,-1,1.492,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.358,1.778,-1,1.457,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,1.951,-1
33,-1,-1,-1,-1,1.524,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.358,1.687,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1
35,-1,-1,-1,-1,1.501,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.358,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1
37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.333,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1
39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.413,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1
41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.358,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1
43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.432,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1
45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.481,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1
47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1
49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1
51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1
53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1
55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1
57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1
59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1
61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1
63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1
65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1
67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1
69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1
71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1
73,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1
75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1
77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1
79,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1
81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1
83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1
85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1
87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1
89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1
91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1
93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1
95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1
97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1
99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1
101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1
103,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1
105,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1
107,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1