Mom ID,i1027,i1027,i1004,i1004,i1004,i1025,i1011,i1025,i1027,i1027,i1005,i3676,i3675,i1005,i3679,i3670,i3687,i1027,i1005,i3679,i3670,i3679,i3670,i1027,i3675,i1027,i3675
Birthdate,38579,38557,38559,38563,38563,38571,38577,38571,38571,38571,38585,38611,38659,38585,38611,38665,38681,38585,38591,38611,38665,38611,38665,38585,38665,38585,38665
ID,i1230,i1231,i1235,i1237,i1238,i1242,i1243,i1244,i1245,i1246,i3773,i3774,i3775,i3776,i3777,i3778,i3779,i3780,i3781,i3782,i3783,i3784,i3785,i3786,i3787,i3788,i3789
Vial,MC3,MC4,MC8,MC10,MC11,MC15,MC15,MC16,MC17,MC18,mc1,mc1,mc1,mc2,mc2,mc2,mc2,mc3,mc3,mc3,mc3,mc4,mc4,mc5,mc5,mc6,mc6
Age,4,5,9,11,12,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
1.000,,,0,,0,,,0,0,0,,0,,,,,,,,,,,,,,,
3.000,,,0,,0,,,0,0,0,,0,,,,,,,,,,,,,,,
5.000,,,0,,0,,,0,0,0,,0,,,,,,,,,,,,,,,
7.000,,,0,,0,,,0,0,0,,0,,,,,,,,,,,,,,,
9.000,,,0,,0,,,0,0,0,,0,,,,,,,,,,,,,,,
11.000,,,0,,0,,,0,0,0,,0,,,,,,,,,,,,,,,
13.000,,,0,,0,,,0,2,1,,0,,,,,,,,,,,,,,,
15.000,,,2,,5,,,0,2,1,,0,,,,,,,,,,,,,,,
17.000,,,2,,5,,,1,2,1,,1,,,,,,,,,,,,,,,
19.000,,,4,,5,,,1,2,1,,3,,,,,,,,,,,,,,,
21.000,,,4,,9,,,1,2,1,,3,,,,,,,,,,,,,,,
23.000,,,4,,9,,,1,2,1,,5,,,,,,,,,,,,,,,
25.000,,,7,,9,,,1,2,1,,5,,,,,,,,,,,,,,,
27.000,,,7,,9,,,1,2,1,,5,,,,,,,,,,,,,,,
29.000,,,7,,9,,,1,2,1,,6,,,,,,,,,,,,,,,
31.000,,,10,,9,,,1,,1,,6,,,,,,,,,,,,,,,
33.000,,,10,,9,,,1,,1,,6,,,,,,,,,,,,,,,
35.000,,,10,,9,,,,,1,,7,,,,,,,,,,,,,,,
37.000,,,10,,9,,,,,1,,7,,,,,,,,,,,,,,,
39.000,,,,,9,,,,,1,,7,,,,,,,,,,,,,,,
41.000,,,,,9,,,,,,,7,,,,,,,,,,,,,,,
43.000,,,,,9,,,,,,,7,,,,,,,,,,,,,,,
45.000,,,,,9,,,,,,,7,,,,,,,,,,,,,,,
47.000,,,,,11,,,,,,,7,,,,,,,,,,,,,,,
49.000,,,,,11,,,,,,,,,,,,,,,,,,,,,,
51.000,,,,,11,,,,,,,,,,,,,,,,,,,,,,
53.000,,,,,11,,,,,,,,,,,,,,,,,,,,,,
55.000,,,,,11,,,,,,,,,,,,,,,,,,,,,,
57.000,,,,,11,,,,,,,,,,,,,,,,,,,,,,
59.000,,,,,11,,,,,,,,,,,,,,,,,,,,,,
61.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
73.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
75.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
85.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
87.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
89.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
91.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
93.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
95.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
97.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
101.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
105.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
107.000,,,,,,,,,,,,,,,,,,,,,,,,,,,