Mom ID,i3016,i3043,i3060,i3037,i3052,i3043,i3045,i3043,i3043,i3043,na,i3034,i3037,i3027,i3046,i3047,i3046,i3011,i1266,i3011,i1266,i1287,i1278,i1262,i3046,i3047,i3048,na,i3019,i3047,i3047,i1264,i1270,i1270,i3020,i3058,i3031,i3047,i3047,i3025,i3056,i3012,i1278,i1274,i3021,i3061,i3021,i1270,i3011,i3011,i3012,i3012,i3012,i3015,i3090,i3089,i3011,i3015,i3059,i3091,i1281,i3014,i3029,i3036,i1297,i3036,na,i3025,i3028,i3040,i3062,i3063,i3035
Birthdate,38497,38499,38501,38501,38501,38501,38501,38505,38505,38505,38509,38507,38509,38517,38523,38521,38517,38531,38541,38531,38541,38539,38533,38523,38517,38533,38537,38541,38521,38533,38537,38535,38517,38535,38547,38551,38567,38547,38547,38549,38543,38543,38579,38519,38569,38577,38579,38517,38579,38579,38543,38543,38547,38649,38661,38685,38531,38655,38661,38679,38593,38655,38619,38621,38595,38608,38655,38587,38607,38603,38607,38631,38677
ID,i1416,i1417,i1418,i1419,i1420,i1423,i1424,i1426,i1427,i1428,i1430,i1437,i1439,i1440,i1441,i1442,i1443,i1444,i1445,i1446,i1447,i1449,i1450,i1451,i1452,i1453,i1454,i1455,i1456,i1457,i1458,i1459,i1461,i1462,i1463,i1464,i1465,i1466,i1467,i1468,i1469,i1470,i1471,i1472,i1473,i1474,i1475,i1476,i1477,i1478,i1479,i1480,i1481,i3164,i3165,i3166,i3167,i3168,i3169,i3170,i3171,i3172,i3173,i3174,i3175,i3176,i3177,i3178,i3179,i3180,i3181,i3182,i3183
Vial,d1,d3,d4,d5,d6,d8,d9,d11,d12,d13,d15,d10,d9,d8,d5,d7,d14,d2,d2,d4,d5,d6,d7,d8,d9,d9,d9,d9,d11,d11,d11,d12,d16,d16,d1,d1,d1,d2,d2 (d13),d3 (d18),d4,d4 (d14),d4,d6 (d17),d6,d7,d9,d10 (part of d15),d10,d11,d12,d16,d16,d1,d1,d1,d2,d2,d2,d2,d3,d3,d4,d5,d6,d6,d6,d7,d7,d8,d9,d9,d9
Age,1,3,4,5,6,8,9,11,12,13,15,22,24,25,26,27,28,29,30,31,32,34,35,36,37,38,39,40,41,42,43,44,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,
7,0,0,2,0,0,0,,0,0,0,,0,,,0,,0,0,,0,0,0,0,0,,,,0,0,,0,,0,,,0,0,0,0,0,0,0,0,3,0,,0,0,,0,0,,0,0,0,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,
9,0,2,2,0,0,,,0,,0,,0,,,0,,0,,,0,0,0,0,1,,,,0,0,,0,,,,,0,2,0,0,0,0,0,0,4,0,,0,0,,0,0,,3,0,0,,,,,,0,0,0,0,,0,0,0,0,0,,0,
11,0,3,2,,0,,,,,0,,0,,,0,,0,,,0,0,0,0,3,,,,2,0,,0,,,,,0,2,0,1,0,0,0,1,6,2,,0,0,,0,0,,3,0,0,,,,,,0,2,0,0,,0,0,0,0,0,,0,
13,0,3,2,,0,,,,,0,,0,,,0,,0,,,,0,,0,3,,,,3,,,0,,,,,0,3,0,2,3,0,0,1,7,2,,0,1,,0,2,,4,,0,,,,,,0,3,0,0,,2,0,0,0,0,,0,
15,0,3,3,,0,,,,,0,,0,,,0,,1,,,,2,,0,3,,,,3,,,0,,,,,,5,2,4,3,0,0,3,7,3,,0,1,,0,2,,4,,0,,,,,,2,4,0,0,,2,2,2,0,0,,,
17,0,5,3,,0,,,,,0,,0,,,0,,1,,,,2,,0,5,,,,5,,,1,,,,,,5,2,4,3,0,0,4,7,3,,1,1,,1,3,,,,0,,,,,,2,4,0,0,,3,2,,0,0,,,
19,0,5,5,,,,,,,1,,0,,,,,1,,,,3,,0,5,,,,5,,,1,,,,,,5,2,4,3,0,0,4,7,5,,1,1,,1,4,,,,0,,,,,,3,4,0,0,,3,2,,0,0,,,
21,0,5,5,,,,,,,1,,0,,,,,1,,,,3,,0,5,,,,6,,,3,,,,,,7,2,4,3,,0,4,7,5,,,1,,1,4,,,,,,,,,,3,4,0,0,,4,2,,0,0,,,
23,1,5,,,,,,,,4,,0,,,,,1,,,,3,,0,5,,,,,,,3,,,,,,7,,4,3,,0,4,9,5,,,3,,1,5,,,,,,,,,,3,4,0,0,,4,3,,0,0,,,
25,1,5,,,,,,,,6,,0,,,,,,,,,3,,1,6,,,,,,,3,,,,,,7,,4,3,,0,4,9,,,,3,,1,5,,,,,,,,,,4,4,0,0,,6,3,,0,0,,,
27,2,6,,,,,,,,6,,0,,,,,,,,,3,,2,7,,,,,,,3,,,,,,7,,4,3,,0,4,9,,,,3,,1,6,,,,,,,,,,4,4,0,0,,6,3,,0,0,,,
29,2,6,,,,,,,,6,,0,,,,,,,,,3,,2,7,,,,,,,3,,,,,,9,,4,4,,0,4,10,,,,3,,2,7,,,,,,,,,,4,4,0,0,,6,5,,0,0,,,
31,2,6,,,,,,,,6,,0,,,,,,,,,3,,2,7,,,,,,,3,,,,,,9,,4,4,,0,4,10,,,,3,,,7,,,,,,,,,,4,4,0,0,,6,5,,0,1,,,
33,3,7,,,,,,,,6,,0,,,,,,,,,3,,3,7,,,,,,,3,,,,,,9,,4,6,,0,4,12,,,,4,,,8,,,,,,,,,,4,,0,0,,6,,,0,1,,,
35,3,7,,,,,,,,6,,1,,,,,,,,,3,,3,8,,,,,,,3,,,,,,9,,4,6,,0,4,12,,,,4,,,8,,,,,,,,,,4,,0,0,,6,,,0,1,,,
37,3,7,,,,,,,,6,,1,,,,,,,,,3,,3,8,,,,,,,3,,,,,,10,,4,6,,,,12,,,,5,,,8,,,,,,,,,,4,,0,0,,6,,,0,1,,,
39,3,7,,,,,,,,6,,1,,,,,,,,,3,,3,8,,,,,,,3,,,,,,11,,4,6,,,,13,,,,5,,,8,,,,,,,,,,5,,0,0,,6,,,0,1,,,
41,3,8,,,,,,,,,,3,,,,,,,,,3,,3,8,,,,,,,3,,,,,,11,,4,6,,,,13,,,,6,,,10,,,,,,,,,,5,,0,0,,6,,,0,1,,,
43,4,8,,,,,,,,,,3,,,,,,,,,3,,3,8,,,,,,,,,,,,,12,,4,7,,,,14,,,,6,,,10,,,,,,,,,,,,0,0,,6,,,0,1,,,
45,4,8,,,,,,,,,,3,,,,,,,,,3,,,9,,,,,,,,,,,,,12,,4,,,,,14,,,,6,,,11,,,,,,,,,,,,0,1,,6,,,0,1,,,
47,4,8,,,,,,,,,,3,,,,,,,,,3,,,9,,,,,,,,,,,,,14,,4,,,,,14,,,,6,,,11,,,,,,,,,,,,0,1,,6,,,0,1,,,
49,4,8,,,,,,,,,,3,,,,,,,,,3,,,9,,,,,,,,,,,,,14,,4,,,,,,,,,6,,,11,,,,,,,,,,,,0,1,,6,,,0,1,,,
51,,8,,,,,,,,,,3,,,,,,,,,3,,,9,,,,,,,,,,,,,15,,4,,,,,,,,,6,,,12,,,,,,,,,,,,0,2,,6,,,0,1,,,
53,,8,,,,,,,,,,3,,,,,,,,,3,,,9,,,,,,,,,,,,,15,,4,,,,,,,,,6,,,12,,,,,,,,,,,,0,2,,6,,,0,1,,,
55,,,,,,,,,,,,3,,,,,,,,,3,,,9,,,,,,,,,,,,,15,,4,,,,,,,,,6,,,12,,,,,,,,,,,,1,2,,,,,0,1,,,
57,,,,,,,,,,,,,,,,,,,,,4,,,9,,,,,,,,,,,,,15,,4,,,,,,,,,6,,,12,,,,,,,,,,,,1,2,,,,,0,1,,,
59,,,,,,,,,,,,,,,,,,,,,4,,,9,,,,,,,,,,,,,16,,4,,,,,,,,,6,,,13,,,,,,,,,,,,2,2,,,,,0,1,,,
61,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,16,,4,,,,,,,,,6,,,14,,,,,,,,,,,,2,2,,,,,0,1,,,
63,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,16,,4,,,,,,,,,,,,14,,,,,,,,,,,,2,3,,,,,0,1,,,
65,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,16,,4,,,,,,,,,,,,15,,,,,,,,,,,,3,3,,,,,0,1,,,
67,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,16,,4,,,,,,,,,,,,15,,,,,,,,,,,,3,,,,,,0,1,,,
69,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,16,,4,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,0,2,,,
71,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,16,,4,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,0,2,,,
73,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,16,,4,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,0,2,,,
75,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,16,,4,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,0,2,,,
77,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,16,,4,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,2,3,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,4,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,2,3,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,3,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,3,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,