Mom ID,i3026,i3021,i3020,i3021,i3058,i3011,i3047,na,i1278,i3056,i3025,i3020,i3025,i3040,i3020,i3026,i3047,i3012,i3061,i3021,i3012,i3058,i3025,i3062,i1308,i3029,i3002,i3008,i3008,i3038,i3031,i3111,i3002,i3008,i3059,i3090,i3089,i3062,i3002,i3065,i3035,i3040,i3036,i3015,i3059,i3077,i3055,i3055,i3044,i3064,i3002,i3055,i3059
Birthdate,38547,38573,38547,38563,38577,38547,38557,38579,38555,38567,38571,38555,38567,38575,38555,38567,38557,38557,38567,38579,38571,38589,38591,38607,38613,38619,38639,38669,38675,38589,38593,38601,38639,38645,38649,38655,38685,38611,38615,38655,38671,38593,38621,38631,38655,38661,38675,38677,38595,38603,38621,38655,38661
ID,i1540,i1541,i1542,i1545,i1546,i1547,i1548,i1549,i1550,i1551,i1552,i1553,i1554,i1555,i1556,i1557,i1558,i1559,i1560,i1561,i1562,i3213,i3214,i3215,i3216,i3217,i3218,i3219,i3220,i3221,i3222,i3223,i3224,i3225,i3226,i3227,i3228,i3229,i3230,i3231,i3232,i3233,i3234,i3235,i3236,i3237,i3238,i3239,i3240,i3241,i3242,i3243,i3244
Vial,f1,f1,f2,f3,f3,f4,f4,f4,f5,f5,f5,f6,f6,f6,f7,f7,f8,f9,f10,f10,f11,f1,f1,f1,f1,f1,f1,f1,f1,f2,f2,f2,f2,f2,f2,f2,f2,f3,f3,f3,f3,f4,f4,f4,f4,f4,f4,f4,f5,f5,f5,f6,f7
Age,1,2,3,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
1,0.815,0.716,0.79,0.84,0.765,0.765,0.79,0.719,0.617,0.989,0.815,0.79,0.784,0.765,0.84,0.811,0.741,0.815,0.801,0.814,0.79,0.716,0.79,0.79,0.784,0.761,0.743,0.84,0.793,0.667,0.815,0.802,0.775,0.736,0.741,0.79,0.718,0.725,0.776,0.79,0.777,0.79,0.772,0.716,0.79,0.78,0.765,0.758,0.741,0.629,0.77,0.741,0.766
3,0.963,0.84,0.938,0.938,0.914,0.864,0.889,0.79,0.716,-1,0.963,0.889,0.84,0.914,0.864,1.012,0.914,0.914,0.938,-1,0.988,-1,0.963,0.853,0.919,0.845,0.895,-1,0.946,0.691,0.914,0.926,0.929,-1,-1,0.924,,-1,0.944,0.905,0.823,0.889,-1,0.852,-1,0.894,-1,0.878,-1,1.007,0.932,0.82,0.936
5,1.111,1.235,1.131,1.122,1.21,1.29,1.284,0.914,0.741,-1,1.111,1.259,-1,1.012,0.914,1.136,1.284,1.284,-1,-1,0.988,-1,1.012,0.838,0.86,0.83,1.037,-1,0.984,-1,1.086,1.06,0.988,-1,-1,1.079,,-1,1.078,1.074,0.98,0.988,-1,1.037,-1,0.936,-1,0.914,-1,1.21,na,0.858,1.041
7,1.16,1.432,1.259,1.259,1.336,1.457,1.284,-1,1.012,-1,1.136,1.506,-1,1.185,0.914,1.259,1.506,1.506,-1,-1,1.383,-1,1.086,-1,-1,na,1.063,-1,1.103,-1,-1,1.16,-1,-1,-1,1.15,,-1,1.061,1.184,1.081,1.125,-1,1.039,-1,1.021,-1,1.059,-1,1.409,1.086,1.003,1.073
9,1.21,1.605,1.432,1.407,1.487,1.556,1.284,-1,1.16,-1,1.259,1.506,-1,1.516,0.914,1.481,1.654,1.654,-1,-1,1.383,-1,-1,-1,-1,0.896,1.065,-1,1.282,-1,-1,1.167,-1,-1,-1,1.183,,-1,1.116,1.272,1.206,1.311,-1,-1,-1,-1,-1,1.137,-1,-1,1.157,1.043,1.235
11,1.383,1.531,1.531,1.506,1.531,-1,1.385,-1,-1,-1,1.333,-1,-1,1.605,-1,1.63,1.693,1.693,-1,-1,-1,-1,-1,-1,-1,0.899,1.111,-1,1.357,-1,-1,1.264,-1,-1,-1,1.242,,-1,na,1.213,1.282,1.305,-1,-1,-1,-1,-1,,-1,-1,1.239,1.101,1.229
13,1.531,-1,1.728,1.605,1.556,-1,1.333,-1,-1,-1,1.43,-1,-1,1.654,-1,1.728,1.654,1.654,-1,-1,-1,-1,-1,-1,-1,0.949,1.162,-1,,-1,-1,1.311,-1,-1,-1,1.311,,-1,1.151,1.279,1.26,1.384,-1,-1,-1,-1,-1,,-1,-1,1.298,1.181,1.266
15,1.531,-1,1.728,-1,1.605,-1,1.383,-1,-1,-1,1.4,-1,-1,1.679,-1,1.753,1.827,1.827,-1,-1,-1,-1,-1,-1,-1,-1,1.143,-1,,-1,-1,1.293,-1,-1,-1,1.358,,-1,1.114,-1,,1.383,-1,-1,-1,-1,-1,,-1,-1,1.358,1.333,1.269
17,1.63,-1,1.728,-1,1.63,-1,1.383,-1,-1,-1,-1,-1,-1,1.827,-1,1.787,1.827,1.827,-1,-1,-1,-1,-1,-1,-1,-1,1.136,-1,,-1,-1,1.362,-1,-1,-1,1.385,,-1,1.414,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,1.325,1.397,1.343
19,1.63,-1,1.877,-1,1.605,-1,1.407,-1,-1,-1,-1,-1,-1,1.778,-1,1.856,1.877,1.877,-1,-1,-1,-1,-1,-1,-1,-1,1.167,-1,,-1,-1,1.331,-1,-1,-1,1.378,,-1,1.207,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,1.369,1.366,1.438
21,1.755,-1,1.851,-1,1.705,-1,-1,-1,-1,-1,-1,-1,-1,1.877,-1,1.802,1.877,1.877,-1,-1,-1,-1,-1,-1,-1,-1,1.091,-1,,-1,-1,1.346,-1,-1,-1,1.398,,-1,1.185,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,1.415,1.358,1.476
23,1.753,-1,1.877,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.897,-1,1.852,1.951,1.951,-1,-1,-1,-1,-1,-1,-1,-1,1.163,-1,,-1,-1,1.284,-1,-1,-1,1.456,,-1,1.184,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,1.432,1.46,1.596
25,-1,-1,1.778,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.92,-1,1.926,2.074,1.926,-1,-1,-1,-1,-1,-1,-1,-1,1.2,-1,,-1,-1,na,-1,-1,-1,1.455,,-1,1.16,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,na,1.432,1.676
27,-1,-1,1.827,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.917,-1,1.901,1.955,2.059,-1,-1,-1,-1,-1,-1,-1,-1,1.136,-1,,-1,-1,1.385,-1,-1,-1,1.439,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,1.46,1.343,
29,-1,-1,1.852,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.849,-1,1.951,1.964,2.058,-1,-1,-1,-1,-1,-1,-1,-1,1.16,-1,,-1,-1,1.339,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,1.481,1.464,
31,-1,-1,1.852,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.025,-1,1.999,1.926,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,1.344,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,1.454,1.495,
33,-1,-1,1.753,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.971,-1,1.907,1.975,2.025,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,1.388,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,1.524,,
35,-1,-1,1.728,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.861,-1,1.916,2.099,2.074,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,1.531,,
37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.015,-1,1.929,2.049,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,1.533,,
39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.902,-1,1.975,2.049,1.975,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,1.48,,
41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.911,-1,1.993,2.06,2.089,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,1.595,,
43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.008,1.915,2.055,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,1.647,,
45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.057,1.907,2.043,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,1.595,,
47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.934,2.07,2.05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,1.511,,
49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.938,2.025,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,
51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.023,2.05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,
53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.959,2.064,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,
55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.982,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,
57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,
59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,
61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,
63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,
65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,
67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,
69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,
71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,
73,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,
75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,
77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,
79,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,
81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,
83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,
85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,
87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,
89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,
91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,
93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,
95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,
97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,
99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,
101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,
103,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,
105,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,
107,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,
109,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,
111,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,
113,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,
115,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,
117,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,
119,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,