Mom ID,i1407,i1378,i1386,i1378,i1390,i1380,i1399,i1380,i1386,i1376,i1376,i3154,i3156,i3154,i3160,i3160,i3157,i3154,i1405,i1376,i1399,i3154,i3154,i3160,i3162,i1386,i1376,i1386,i1390,i1376,i1386,i1376,i1390,i1390,i1386,i1376,i1395,i1390,i1386,i3163,i1395,i3162,i3160
Birthdate,38553,38553,38575,38581,38561,38567,38567,38591,38597,38605,38609,38633,38663,38665,38683,38671,38673,38675,38593,38615,38621,38623,38633,38671,38677,38593,38595,38597,38613,38633,38593,38595,38595,38613,38615,38633,38595,38613,38615,38671,38595,38677,38683
ID,i1623,i1624,i1625,i1626,i1627,i1628,i1629,i3383,i3384,i3385,i3386,i3387,i3388,i3389,i3390,i3391,i3392,i3393,i3394,i3395,i3396,i3397,i3398,i3399,i3400,i3401,i3402,i3403,i3404,i3405,i3406,i3407,i3408,i3409,i3410,i3411,i3412,i3413,i3414,i3415,i3416,i3417,i3418
Vial,mc1,mc2,mc2,mc2,mc3,mc3,mc4,mc1,mc1,mc1,mc2,mc2,mc2,mc3,mc3,mc4,mc4,mc4,mc5,mc5,mc5,mc5,mc5,mc5,mc5,mc7,mc7,mc7,mc7,mc7,mc6,mc6,mc8,mc8,mc8,mc8,mc9,mc9,mc9,mc9,mc10,mc10,mc10
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
1,0.741,0.765,0.79,0.741,0.741,0.73,0.749,0.741,0.765,0.807,0.763,0.743,0.701,0.791,0.737,0.726,0.693,0.716,0.741,0.83,0.733,0.732,0.776,0.782,0.751,0.79,0.765,0.84,0.74,0.79,0.815,0.741,0.741,0.75,0.77,0.766,0.741,0.754,0.786,0.73,0.765,0.761,0.728
3,0.914,1.111,1.111,0.938,0.815,0.84,0.889,0.889,-1,0.988,0.806,-1,1.102,0.924,-1,-1,-1,0.93,1.037,-1,-1,-1,-1,-1,0.837,-1,-1,-1,0.872,0.988,-1,0.84,0.914,na,-1,0.963,-1,-1,-1,0.834,0.889,-1,-1
5,1.383,1.333,-1,1.368,-1,1.111,1.383,1.037,-1,1.192,0.843,-1,1.287,1.062,-1,-1,-1,0.975,1.358,-1,-1,-1,-1,-1,1.063,-1,-1,-1,-1,1.017,-1,1.26,1.466,-1,-1,1.125,-1,-1,-1,0.946,1.264,-1,-1
7,1.556,1.556,-1,1.704,-1,1.333,1.728,-1,-1,1.428,1.042,-1,1.506,1.444,-1,-1,-1,1.083,-1,-1,-1,-1,-1,-1,1.214,-1,-1,-1,-1,1.23,-1,1.448,1.665,-1,-1,1.513,-1,-1,-1,1.307,-1,-1,-1
9,1.728,1.704,-1,1.704,-1,1.531,1.852,-1,-1,1.596,1.299,-1,1.648,1.471,-1,-1,-1,1.411,-1,-1,-1,-1,-1,-1,1.514,-1,-1,-1,-1,1.513,-1,1.667,1.634,-1,-1,1.625,-1,-1,-1,1.484,-1,-1,-1
11,1.802,1.901,-1,1.852,-1,1.704,1.852,-1,-1,1.675,1.474,-1,1.632,1.472,-1,-1,-1,1.478,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,1.605,-1,1.861,1.748,-1,-1,1.605,-1,-1,-1,1.624,-1,-1,-1
13,2,1.926,-1,1.951,-1,1.827,1.917,-1,-1,1.791,1.678,-1,1.621,1.611,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,1.63,-1,1.975,-1,-1,-1,1.718,-1,-1,-1,1.831,-1,-1,-1
15,1.997,2.021,-1,1.975,-1,1.852,2.025,-1,-1,1.639,1.528,-1,1.796,1.72,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,1.685,-1,1.821,-1,-1,-1,1.834,-1,-1,-1,1.831,-1,-1,-1
17,2.123,2,-1,1.949,-1,1.951,2,-1,-1,1.8,1.643,-1,1.846,1.799,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,1.852,-1,1.865,-1,-1,-1,1.951,-1,-1,-1,,-1,-1,-1
19,2.123,1.975,-1,1.99,-1,1.83,na,-1,-1,1.75,-1,-1,1.911,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,1.8,-1,1.981,-1,-1,-1,1.943,-1,-1,-1,,-1,-1,-1
21,2.222,-1,-1,2.019,-1,1.975,na,-1,-1,1.757,-1,-1,1.905,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,1.759,-1,1.954,-1,-1,-1,1.953,-1,-1,-1,,-1,-1,-1
23,2.247,-1,-1,-1,-1,1.975,1.975,-1,-1,1.873,-1,-1,1.85,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,1.877,-1,1.972,-1,-1,-1,1.975,-1,-1,-1,,-1,-1,-1
25,2.247,-1,-1,-1,-1,2.025,2.025,-1,-1,1.873,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,1.85,-1,2.053,-1,-1,-1,2.094,-1,-1,-1,,-1,-1,-1
27,2.18,-1,-1,-1,-1,2.074,2.099,-1,-1,2.024,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,2.074,-1,2.124,-1,-1,-1,1.965,-1,-1,-1,,-1,-1,-1
29,2.148,-1,-1,-1,-1,2.198,2.099,-1,-1,2.037,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,1.989,-1,2.148,-1,-1,-1,2.091,-1,-1,-1,,-1,-1,-1
31,2.222,-1,-1,-1,-1,2.153,2.074,-1,-1,2.148,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,2.109,-1,2.021,-1,-1,-1,2.166,-1,-1,-1,,-1,-1,-1
33,2.248,-1,-1,-1,-1,2.022,1.926,-1,-1,1.935,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,2.086,-1,2.17,-1,-1,-1,2.2,-1,-1,-1,,-1,-1,-1
35,-1,-1,-1,-1,-1,2.007,1.939,-1,-1,2.007,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,2.143,-1,2.135,-1,-1,-1,2.058,-1,-1,-1,,-1,-1,-1
37,-1,-1,-1,-1,-1,2.204,1.899,-1,-1,2.121,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,2.025,-1,2.186,-1,-1,-1,2.074,-1,-1,-1,,-1,-1,-1
39,-1,-1,-1,-1,-1,2.198,na,-1,-1,2.074,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,2.232,-1,2.16,-1,-1,-1,2.072,-1,-1,-1,,-1,-1,-1
41,-1,-1,-1,-1,-1,2.213,2.099,-1,-1,2.026,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,2.193,-1,2.222,-1,-1,-1,2.104,-1,-1,-1,,-1,-1,-1
43,-1,-1,-1,-1,-1,2.103,2.04,-1,-1,2.15,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,2.058,-1,2.057,-1,-1,-1,2.209,-1,-1,-1,,-1,-1,-1
45,-1,-1,-1,-1,-1,2.295,2.214,-1,-1,2.272,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,2.249,-1,2.171,-1,-1,-1,2.288,-1,-1,-1,,-1,-1,-1
47,-1,-1,-1,-1,-1,2.19,2.372,-1,-1,2.072,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,2.246,-1,2.251,-1,-1,-1,2.171,-1,-1,-1,,-1,-1,-1
49,-1,-1,-1,-1,-1,2.239,2.164,-1,-1,2.2,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,2.27,-1,2.272,-1,-1,-1,2.238,-1,-1,-1,,-1,-1,-1
51,-1,-1,-1,-1,-1,2.311,2.31,-1,-1,2.222,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,2.276,-1,2.08,-1,-1,-1,2.314,-1,-1,-1,,-1,-1,-1
53,-1,-1,-1,-1,-1,2.336,2.096,-1,-1,2.049,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,2.273,-1,2.117,-1,-1,-1,2.423,-1,-1,-1,,-1,-1,-1
55,-1,-1,-1,-1,-1,2.179,2.219,-1,-1,2.066,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,2.222,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1
57,-1,-1,-1,-1,-1,2.263,2.212,-1,-1,2.314,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,2.097,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1
59,-1,-1,-1,-1,-1,2.26,2.291,-1,-1,2.219,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,2.242,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1
61,-1,-1,-1,-1,-1,2.314,2.305,-1,-1,2.36,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,2.272,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1
63,-1,-1,-1,-1,-1,2.303,2.344,-1,-1,2.139,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,2.279,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1
65,-1,-1,-1,-1,-1,2.372,2.283,-1,-1,2.37,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,2.325,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1
67,-1,-1,-1,-1,-1,-1,2.35,-1,-1,2.379,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,2.24,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1
69,-1,-1,-1,-1,-1,-1,2.42,-1,-1,2.357,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,2.387,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1
71,-1,-1,-1,-1,-1,-1,2.25,-1,-1,2.149,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,2.315,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1
73,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.383,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,2.256,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1
75,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.21,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,2.346,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1
77,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.401,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,2.258,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1
79,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.415,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,2.228,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1
81,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.401,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,2.252,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1
83,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,2.467,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1
85,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,2.316,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1
87,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,2.406,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1
89,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,2.458,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1
91,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,2.474,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1
93,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1
95,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1
97,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1
99,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1
101,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1
103,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1
105,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1
107,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1
109,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1
111,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1
113,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1
115,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1
117,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1
119,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1